proxy_name,num_of_conns,client/cpu,client/workingset,rps/mean,latency/mean,latency/p99,proxy/cpu,proxy/workingset,server/cpu,server/workingset
nginx,1,0.04,51.0,5565.17652148722,178.64908355795149,228,0.03,8.0,0.2,333.0
nginx,2,0.05,50.0,9826.112049594218,202.49528718728956,300,0.06,8.0,0.35,339.0
nginx,4,0.08,50.0,17848.027807719034,222.99646174548286,360,0.11,9.0,0.52,343.0
nginx,8,0.12,50.0,31152.31873447839,255.58769984067317,464,0.19,9.0,0.74,346.0
traefik,1,0.03,50.0,3677.8202287445106,270.78653355508527,412,0.12,33.0,0.16,328.0
traefik,2,0.05,50.0,4178.292466443881,477.46889996050913,4609,0.77,35.0,0.94,351.0
traefik,4,0.08,50.0,7810.978138797571,510.7947112142912,7108,0.33,39.0,0.99,348.0
traefik,8,0.12,49.0,2658.7765003149984,3007.5221877448676,16538,0.49,39.0,0.99,355.0
yarp,1,0.03,52.0,3021.8167195341625,329.74086902805203,436,0.21,352.0,0.13,324.0
yarp,2,0.04,50.0,5778.751577414269,344.86255479926166,489,0.39,356.0,0.23,336.0
yarp,4,0.07,50.0,11025.561536627481,361.4959298590378,537,0.62,357.0,0.39,343.0
yarp,8,0.12,50.0,18986.571263593298,419.9556671564935,692,0.87,358.0,0.55,341.0
